Cmdline: /system/bin/simpleperf record --app com.example.openxcpro.debug --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --add-meta-info app_type=debuggable -f 400 --duration 95
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 63564
Event count: 255784272155

Overhead  Sample  Command                      Pid    Tid    Shared Object                                                                                                                     Symbol
0.11%     83      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::JitCodeCache::NotifyCompilationOf(art::ArtMethod*, art::Thread*, art::CompilationKind, bool)
0.11%     40      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::GlobalValueNumberer::Run()
0.11%     47      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ClassLinker::FindResolvedMethod(art::ObjPtr<art::mirror::Class>, art::ObjPtr<art::mirror::DexCache>, art::ObjPtr<art::mirror::ClassLoader>, unsigned int)
0.11%     44      DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
0.11%     59      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   java.util.Arrays.fill
0.10%     93      DefaultDispatch              15948  16092  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.10%     57      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   kotlinx.coroutines.flow.StateFlowImpl.collect
0.10%     86      DefaultDispatch              15948  16003  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.10%     82      DefaultDispatch              15948  16092  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.10%     68      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             @plt
0.10%     67      DefaultDispatch              15948  16003  /apex/com.android.art/lib64/libart.so                                                                                             void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
0.10%     73      DefaultDispatch              15948  16007  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.10%     51      RenderThread                 15948  15978  /system/lib64/libhwui.so                                                                                                          __aarch64_ldadd4_acq_rel
0.09%     54      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!73a22db0e0d51ecebffa77c45f9a93!0c393b63cf!
0.09%     50      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!77df12deb6a622478efa8fb9929034!0c393b63cf!
0.09%     43      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!77227352a14f178bbc3c0edd82ef00!0c393b63cf!
0.09%     54      RenderThread                 15948  15978  /system/lib64/libhwui.so                                                                                                          __aarch64_ldadd4_relax
0.09%     69      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::Mutex::ExclusiveUnlock(art::Thread*)
0.09%     90      DefaultDispatch              15948  16005  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.09%     57      DefaultDispatch              15948  16094  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.09%     51      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+8b0308]
0.09%     69      DefaultDispatch              15948  15998  [JIT app cache]                                                                                                                   art_jni_trampoline
0.09%     50      DefaultDispatch              15948  16062  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.09%     81      DefaultDispatch              15948  15971  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.09%     80      DefaultDispatch              15948  16001  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
